,0,1,2,3,forecast,,,,,,,,,
0,4/5/2022,2,4/5/2022,2,6.142857143,,,,,,,,,
1,4/6/2022,2.5,4/6/2022,3,5.169785023,,,,,,,,,
2,4/7/2022,3.333333333,4/7/2022,5,5.056354523,,,,,,,,,
3,4/8/2022,3,4/8/2022,2,4.996387482,,,,,,,,,
4,4/9/2022,2.4,4/9/2022,0,4.958063126,,,,,,,,,
5,4/10/2022,2,4/10/2022,0,4.971372604,,,,,,,,,
6,4/11/2022,2.714285714,4/11/2022,7,4.995015621,,,,,,,,,
7,4/12/2022,2.142857143,4/12/2022,-2,5.002875328,,,,,,,,,
8,4/13/2022,1.857142857,4/13/2022,1,,,,,,,,,,
9,4/14/2022,2.285714286,4/14/2022,8,,,,,,,,,,
10,4/15/2022,2,4/15/2022,0,,,,,,,,,,
11,4/16/2022,2,4/16/2022,0,,,,,,,,,,
12,4/17/2022,2,4/17/2022,0,,,,,,,,,,
13,4/18/2022,2.857142857,4/18/2022,13,,,,,,,,,,
14,4/19/2022,3.428571429,4/19/2022,2,,,,,,,,,,
15,4/20/2022,4.428571429,4/20/2022,8,,,,,,,,,,
16,4/21/2022,3.714285714,4/21/2022,3,,,,,,,,,,
17,4/22/2022,4.285714286,4/22/2022,4,,,,,,,,,,
18,4/23/2022,4.285714286,4/23/2022,0,,,,,,,,,,
19,4/24/2022,4.285714286,4/24/2022,0,,,,,,,,,,
20,4/25/2022,4.285714286,4/25/2022,13,,,,,,,,,,
21,4/26/2022,4,4/26/2022,0,,,,,,,,,,
22,4/27/2022,2.857142857,4/27/2022,0,,,,,,,,,,
23,4/28/2022,5.285714286,4/28/2022,20,,,,,,,,,,
24,4/29/2022,4.714285714,4/29/2022,0,,,,,,,,,,
25,4/30/2022,4.714285714,4/30/2022,0,,,,,,,,,,
26,5/1/2022,4.714285714,5/1/2022,0,,,,,,,,,,
27,5/2/2022,4.714285714,5/2/2022,13,,,,,,,,,,
28,5/3/2022,4.714285714,5/3/2022,0,,,,,,,,,,
29,5/4/2022,5,5/4/2022,2,,,,,,,,,,
30,5/5/2022,4.428571429,5/5/2022,16,,,,,,,,,,
31,5/6/2022,5.428571429,5/6/2022,7,,,,,,,,,,
32,5/7/2022,5.428571429,5/7/2022,0,,,,,,,,,,
33,5/8/2022,5.428571429,5/8/2022,0,,,,,,,,,,
34,5/9/2022,5.428571429,5/9/2022,13,,,,,,,,,,
35,5/10/2022,5.714285714,5/10/2022,2,,,,,,,,,,
36,5/11/2022,5.714285714,5/11/2022,2,,,,,,,,,,
37,5/12/2022,5,5/12/2022,11,,,,,,,,,,
38,5/13/2022,4,5/13/2022,0,,,,,,,,,,
39,5/14/2022,4,5/14/2022,0,,,,,,,,,,
40,5/15/2022,4,5/15/2022,0,,,,,,,,,,
41,5/16/2022,3.428571429,5/16/2022,9,,,,,,,,,,
42,5/17/2022,3.285714286,5/17/2022,1,,,,,,,,,,
43,5/18/2022,3.571428571,5/18/2022,4,,,,,,,,,,
44,5/19/2022,4.714285714,5/19/2022,19,,,,,,,,,,
45,5/20/2022,5.857142857,5/20/2022,8,,,,,,,,,,
46,5/21/2022,5.857142857,5/21/2022,0,,,,,,,,,,
47,5/22/2022,5.857142857,5/22/2022,0,,,,,,,,,,
48,5/23/2022,7.428571429,5/23/2022,20,,,,,,,,,,
49,5/24/2022,8.571428571,5/24/2022,9,,,,,,,,,,
50,5/25/2022,8.857142857,5/25/2022,6,,,,,,,,,,
51,5/26/2022,10.14285714,5/26/2022,28,,,,,,,,,,
52,5/27/2022,9.571428571,5/27/2022,4,,,,,,,,,,
53,5/28/2022,9.571428571,5/28/2022,0,,,,,,,,,,
