,0,1,forecast
10,3/11/2020,34.0,
11,3/12/2020,31.0,
12,3/13/2020,31.0,
13,3/14/2020,26.0,
14,3/15/2020,28.0,
15,3/16/2020,29.0,
16,3/17/2020,35.0,
17,3/18/2020,39.0,
18,3/19/2020,37.0,
19,3/20/2020,37.0,
20,3/21/2020,44.0,
21,3/22/2020,45.0,
22,3/23/2020,66.0,
23,3/24/2020,56.0,
24,3/25/2020,43.0,
25,3/26/2020,117.0,
26,3/27/2020,86.0,
27,3/28/2020,86.0,
28,3/29/2020,86.0,
29,3/30/2020,64.0,
30,3/31/2020,64.0,
31,4/1/2020,95.0,
32,4/2/2020,61.0,
33,4/3/2020,116.0,
34,4/4/2020,116.0,
35,4/5/2020,116.0,
36,4/6/2020,182.0,
37,4/7/2020,218.0,
38,4/8/2020,269.0,
39,4/9/2020,331.0,
40,4/10/2020,394.0,
41,4/11/2020,394.0,
42,4/12/2020,394.0,
43,4/13/2020,394.0,
44,4/14/2020,441.0,
45,4/15/2020,441.0,
46,4/16/2020,232.0,
47,4/17/2020,206.0,
48,4/18/2020,206.0,
49,4/19/2020,206.0,
50,4/20/2020,206.0,
51,4/21/2020,150.0,
52,4/22/2020,171.0,
53,4/23/2020,186.0,
54,4/24/2020,199.0,
55,4/25/2020,199.0,
56,4/26/2020,199.0,
57,4/27/2020,173.0,
58,4/28/2020,149.0,
59,4/29/2020,131.0,
60,4/30/2020,112.0,
61,5/1/2020,112.0,
62,5/2/2020,112.0,
63,5/3/2020,138.0,
64,5/4/2020,142.0,
65,5/5/2020,142.0,
66,5/6/2020,47.0,
67,5/7/2020,47.0,
68,5/8/2020,47.0,
69,5/9/2020,47.0,
70,5/10/2020,22.0,
71,5/11/2020,43.0,
72,5/12/2020,29.0,
84,5/24/2020,121.0,
85,5/25/2020,107.0,
86,5/26/2020,105.0,
87,5/27/2020,115.0,
88,5/28/2020,107.0,
89,5/29/2020,73.0,
90,5/30/2020,71.0,
91,5/31/2020,71.0,
92,6/1/2020,73.0,
93,6/2/2020,81.0,
94,6/3/2020,63.0,
95,6/4/2020,63.0,
96,6/5/2020,67.0,
97,6/6/2020,56.0,
98,6/7/2020,47.0,
99,6/8/2020,40.0,
100,6/9/2020,33.0,
101,6/10/2020,37.0,
102,6/11/2020,36.0,
103,6/12/2020,36.0,
104,6/13/2020,44.0,
105,6/14/2020,47.0,
106,6/15/2020,50.0,
107,6/16/2020,51.0,
108,6/17/2020,42.0,
109,6/18/2020,37.0,
110,6/19/2020,30.0,
111,6/20/2020,23.0,
112,6/21/2020,21.0,
113,6/22/2020,20.0,
114,6/23/2020,17.0,
115,6/24/2020,14.0,
116,6/25/2020,12.0,
117,6/26/2020,12.0,
118,6/27/2020,13.0,
119,6/28/2020,11.0,
120,6/29/2020,11.0,
121,6/30/2020,11.0,
122,7/1/2020,12.0,
123,7/2/2020,16.0,
124,7/3/2020,18.0,
125,7/4/2020,19.0,
126,7/5/2020,20.0,
127,7/6/2020,20.0,
128,7/7/2020,22.0,
129,7/8/2020,22.0,
130,7/9/2020,20.0,
131,7/10/2020,18.0,
132,7/11/2020,17.0,
133,7/12/2020,19.0,
134,7/13/2020,20.0,
135,7/14/2020,19.0,
136,7/15/2020,22.0,
137,7/16/2020,21.0,
138,7/17/2020,24.0,
139,7/18/2020,26.0,
140,7/19/2020,26.0,
141,7/20/2020,27.0,
142,7/21/2020,25.0,
143,7/22/2020,25.0,
144,7/23/2020,24.0,
145,7/24/2020,24.0,
146,7/25/2020,22.0,
147,7/26/2020,21.0,
148,7/27/2020,20.0,
149,7/28/2020,22.0,
150,7/29/2020,22.0,
151,7/30/2020,24.0,
152,7/31/2020,24.0,
153,8/1/2020,24.0,
154,8/2/2020,29.0,
155,8/3/2020,46.0,
156,8/4/2020,51.0,
157,8/5/2020,70.0,
158,8/6/2020,57.0,
159,8/7/2020,52.0,
160,8/8/2020,52.0,
161,8/9/2020,52.0,
162,8/10/2020,43.0,
163,8/11/2020,38.0,
164,8/12/2020,27.0,
165,8/13/2020,27.0,
166,8/14/2020,27.0,
167,8/15/2020,27.0,
168,8/16/2020,27.0,
169,8/17/2020,23.0,
170,8/18/2020,23.0,
171,8/19/2020,28.0,
172,8/20/2020,28.0,
173,8/21/2020,35.0,
174,8/22/2020,35.0,
175,8/23/2020,35.0,
176,8/24/2020,33.0,
177,8/25/2020,33.0,
178,8/26/2020,28.0,
179,8/27/2020,28.0,
180,8/28/2020,29.0,
181,8/29/2020,29.0,
182,8/30/2020,29.0,
183,8/31/2020,38.0,
184,9/1/2020,38.0,
185,9/2/2020,46.0,
186,9/3/2020,46.0,
187,9/4/2020,51.0,
188,9/5/2020,51.0,
189,9/6/2020,51.0,
190,9/7/2020,57.0,
191,9/8/2020,57.0,
192,9/9/2020,62.0,
193,9/10/2020,55.0,
194,9/11/2020,55.0,
195,9/12/2020,44.0,
196,9/13/2020,40.0,
197,9/14/2020,35.0,
198,9/15/2020,38.0,
199,9/16/2020,38.0,
200,9/17/2020,38.0,
201,9/18/2020,37.0,
202,9/19/2020,43.0,
203,9/20/2020,51.0,
204,9/21/2020,58.0,
205,9/22/2020,53.0,
206,9/23/2020,51.0,
207,9/24/2020,52.0,
208,9/25/2020,55.0,
209,9/26/2020,55.0,
210,9/27/2020,50.0,
211,9/28/2020,47.0,
212,9/29/2020,49.0,
213,9/30/2020,52.0,
214,10/1/2020,54.0,
215,10/2/2020,57.0,
216,10/3/2020,57.0,
217,10/4/2020,57.0,
218,10/5/2020,63.0,
219,10/6/2020,63.0,
220,10/7/2020,63.0,
221,10/8/2020,63.0,
222,10/9/2020,63.0,
223,10/10/2020,63.0,
224,10/11/2020,63.0,
225,10/12/2020,63.0,
226,10/13/2020,63.0,
227,10/14/2020,76.0,
228,10/15/2020,76.0,
229,10/16/2020,88.0,
230,10/17/2020,88.0,
231,10/18/2020,95.0,
232,10/19/2020,136.0,
233,10/20/2020,143.0,
234,10/21/2020,173.0,
235,10/22/2020,179.0,
236,10/23/2020,183.0,
237,10/24/2020,172.0,
238,10/25/2020,182.0,
239,10/26/2020,163.0,
240,10/27/2020,163.0,
241,10/28/2020,150.0,
242,10/29/2020,133.0,
243,10/30/2020,135.0,
244,10/31/2020,125.0,
245,11/1/2020,122.0,
246,11/2/2020,129.0,
247,11/3/2020,136.0,
248,11/4/2020,139.0,
249,11/5/2020,162.0,
250,11/6/2020,172.0,
251,11/7/2020,206.0,
252,11/8/2020,225.0,
253,11/9/2020,239.0,
254,11/10/2020,243.0,
255,11/11/2020,255.0,
256,11/12/2020,263.0,
257,11/13/2020,272.0,
258,11/14/2020,288.0,
259,11/15/2020,302.0,
260,11/16/2020,307.0,
261,11/17/2020,324.0,
262,11/18/2020,345.0,
263,11/19/2020,322.0,
264,11/20/2020,330.0,
265,11/21/2020,317.0,
266,11/22/2020,320.0,
267,11/23/2020,350.0,
268,11/24/2020,360.0,
269,11/25/2020,374.0,
270,11/26/2020,471.0,
271,11/27/2020,515.0,
272,11/28/2020,595.0,
273,11/29/2020,635.0,
274,11/30/2020,666.0,
275,12/1/2020,668.0,
276,12/2/2020,655.0,
277,12/3/2020,632.0,
278,12/4/2020,732.0,
279,12/5/2020,716.0,
280,12/6/2020,767.0,
281,12/7/2020,811.0,
282,12/8/2020,862.0,
283,12/9/2020,939.0,
284,12/10/2020,959.0,
285,12/11/2020,883.0,
286,12/12/2020,904.0,
287,12/13/2020,900.0,
288,12/14/2020,915.0,
289,12/15/2020,909.0,
290,12/16/2020,930.0,
291,12/17/2020,955.0,
292,12/18/2020,940.0,
293,12/19/2020,924.0,
294,12/20/2020,915.0,
295,12/21/2020,874.0,
296,12/22/2020,904.0,
297,12/23/2020,922.0,
298,12/24/2020,883.0,
299,12/25/2020,892.0,
300,12/26/2020,862.0,
301,12/27/2020,734.0,
302,12/28/2020,721.0,
303,12/29/2020,722.0,
304,12/30/2020,708.0,
305,12/31/2020,707.0,
306,1/1/2021,692.0,
307,1/2/2021,736.0,
308,1/3/2021,885.0,
309,1/4/2021,931.0,
310,1/5/2021,925.0,
311,1/6/2021,974.0,
312,1/7/2021,1008.0,
313,1/8/2021,1141.0,
314,1/9/2021,1278.0,
315,1/10/2021,1358.0,
316,1/11/2021,1476.0,
317,1/12/2021,1460.0,
318,1/13/2021,1426.0,
319,1/14/2021,1403.0,
320,1/15/2021,1243.0,
321,1/16/2021,1138.0,
322,1/17/2021,1047.0,
323,1/18/2021,962.0,
324,1/19/2021,1008.0,
325,1/20/2021,926.0,
326,1/21/2021,844.0,
